,networkTime,plt,protocol,renderingTime,test_case,ttfb
0,428.3333333333333,911.6666666666666,http1,480.0,h1_3_h2_7,419.6666666666667
1,371.14285714285717,976.4285714285714,http2,601.8571428571429,h1_3_h2_7,363.57142857142856
2,322.0,769.6666666666666,http1,444.6666666666667,h1_3_h2_7,312.6666666666667
3,375.7142857142857,970.7142857142857,http2,592.0,h1_3_h2_7,368.0
4,486.3333333333333,908.0,http1,417.6666666666667,h1_3_h2_7,478.3333333333333
5,349.85714285714283,792.5714285714286,http2,439.57142857142856,h1_3_h2_7,342.14285714285717
6,334.6666666666667,856.6666666666666,http1,518.6666666666666,h1_3_h2_7,326.0
7,345.57142857142856,889.5714285714286,http2,541.1428571428571,h1_3_h2_7,337.7142857142857
8,497.3333333333333,1093.6666666666667,http1,594.0,h1_3_h2_7,487.3333333333333
9,389.3333333333333,923.8333333333334,http2,530.3333333333334,h1_3_h2_7,382.5
10,330.6666666666667,914.3333333333334,http1,579.6666666666666,h1_3_h2_7,322.6666666666667
11,359.2857142857143,888.0,http2,525.7142857142857,h1_3_h2_7,351.7142857142857
12,314.6666666666667,746.6666666666666,http1,428.6666666666667,h1_3_h2_7,306.0
13,444.7142857142857,963.0,http2,514.5714285714286,h1_3_h2_7,437.85714285714283
14,339.3333333333333,810.6666666666666,http1,467.3333333333333,h1_3_h2_7,331.3333333333333
15,371.42857142857144,1018.4285714285714,http2,643.2857142857143,h1_3_h2_7,364.42857142857144
16,345.6666666666667,867.0,http1,518.3333333333334,h1_3_h2_7,336.6666666666667
17,369.14285714285717,1005.0,http2,632.5714285714286,h1_3_h2_7,361.7142857142857
18,414.3333333333333,814.3333333333334,http1,397.0,h1_3_h2_7,405.3333333333333
19,370.2857142857143,846.1428571428571,http2,473.14285714285717,h1_3_h2_7,362.42857142857144
20,331.4,867.6,http1,532.8,h1_5_h2_5,323.0
21,357.0,1100.2,http2,740.8,h1_5_h2_5,348.8
22,335.6,765.0,http1,425.4,h1_5_h2_5,328.0
23,351.6,930.2,http2,575.8,h1_5_h2_5,343.8
24,488.8,1089.0,http1,596.2,h1_5_h2_5,480.8
25,528.0,1043.25,http2,513.0,h1_5_h2_5,519.5
26,381.6,905.2,http1,520.4,h1_5_h2_5,373.2
27,325.4,948.8,http2,620.6,h1_5_h2_5,317.6
28,504.2,1064.8,http1,556.0,h1_5_h2_5,497.0
29,516.2,885.8,http2,366.4,h1_5_h2_5,508.6
30,333.2,845.6,http1,508.0,h1_5_h2_5,325.8
31,373.4,885.0,http2,507.8,h1_5_h2_5,366.4
32,390.6,987.8,http1,594.2,h1_5_h2_5,381.8
33,363.8,1280.2,http2,912.2,h1_5_h2_5,357.8
34,334.6,819.4,http1,481.0,h1_5_h2_5,327.0
35,363.8,728.0,http2,361.8,h1_5_h2_5,355.8
36,314.75,816.25,http1,498.0,h1_5_h2_5,307.0
37,356.2,764.0,http2,405.2,h1_5_h2_5,348.2
38,337.6,1028.0,http1,687.4,h1_5_h2_5,329.2
39,412.2,1173.4,http2,758.6,h1_5_h2_5,404.6
40,363.57142857142856,920.0,http1,552.4285714285714,h1_7_h2_3,356.14285714285717
41,332.3333333333333,1206.0,http2,871.3333333333334,h1_7_h2_3,324.3333333333333
42,345.57142857142856,811.7142857142857,http1,463.42857142857144,h1_7_h2_3,336.85714285714283
43,496.0,1197.0,http2,698.3333333333334,h1_7_h2_3,487.6666666666667
44,331.2857142857143,815.7142857142857,http1,480.57142857142856,h1_7_h2_3,323.7142857142857
45,407.3333333333333,892.6666666666666,http2,482.0,h1_7_h2_3,400.3333333333333
46,333.85714285714283,794.7142857142857,http1,456.85714285714283,h1_7_h2_3,326.42857142857144
47,364.3333333333333,1098.3333333333333,http2,730.3333333333334,h1_7_h2_3,358.0
48,353.14285714285717,824.7142857142857,http1,468.2857142857143,h1_7_h2_3,345.0
49,350.3333333333333,684.3333333333334,http2,331.6666666666667,h1_7_h2_3,341.6666666666667
50,342.14285714285717,763.5714285714286,http1,418.14285714285717,h1_7_h2_3,334.0
51,367.0,875.0,http2,504.0,h1_7_h2_3,360.6666666666667
52,412.8333333333333,1176.6666666666667,http1,760.8333333333334,h1_7_h2_3,404.3333333333333
53,349.3333333333333,939.3333333333334,http2,587.0,h1_7_h2_3,342.0
54,498.14285714285717,965.7142857142857,http1,463.85714285714283,h1_7_h2_3,490.0
55,372.6666666666667,874.0,http2,498.0,h1_7_h2_3,365.0
56,420.57142857142856,885.4285714285714,http1,461.2857142857143,h1_7_h2_3,412.57142857142856
57,445.0,970.3333333333334,http2,523.0,h1_7_h2_3,436.3333333333333
58,383.85714285714283,902.5714285714286,http1,515.4285714285714,h1_7_h2_3,375.7142857142857
59,352.6666666666667,798.3333333333334,http2,443.0,h1_7_h2_3,344.6666666666667
