,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,3878.0,1536646384480.0,1536646384128.0,1536646388358.0,1536646384127.0,360.0,4231.0,http1,1536646384442.0,1536646384488.0,1536646384468.0,1536646384.0,341.0
0,3964.0,1536646444168.0,1536646443746.0,1536646448132.0,1536646443744.0,452.0,4388.0,http1,1536646444119.0,1536646444198.0,1536646444156.0,1536646444.0,412.0
0,3816.0,1536646504944.0,1536646504586.0,1536646508760.0,1536646504584.0,366.0,4176.0,http1,1536646504904.0,1536646504952.0,1536646504933.0,1536646505.0,349.0
0,4023.0,1536646564525.0,1536646564158.0,1536646568548.0,1536646564158.0,375.0,4390.0,http1,1536646564476.0,1536646564533.0,1536646564513.0,1536646564.0,355.0
0,3884.0,1536646624415.0,1536646623992.0,1536646628299.0,1536646623991.0,451.0,4308.0,http1,1536646624366.0,1536646624443.0,1536646624403.0,1536646624.0,412.0
0,3968.0,1536646685061.0,1536646684685.0,1536646689029.0,1536646684683.0,385.0,4346.0,http1,1536646685011.0,1536646685070.0,1536646685050.0,1536646685.0,367.0
0,3986.0,1536646744807.0,1536646744436.0,1536646748793.0,1536646744434.0,402.0,4359.0,http1,1536646744769.0,1536646744838.0,1536646744795.0,1536646744.0,361.0
0,3859.0,1536646804616.0,1536646804224.0,1536646808475.0,1536646804223.0,400.0,4252.0,http1,1536646804567.0,1536646804624.0,1536646804604.0,1536646804.0,381.0
0,3904.0,1536646864247.0,1536646863886.0,1536646868151.0,1536646863886.0,370.0,4265.0,http1,1536646864209.0,1536646864256.0,1536646864235.0,1536646864.0,349.0
0,3932.0,1536646924952.0,1536646924575.0,1536646928884.0,1536646924572.0,385.0,4312.0,http1,1536646924904.0,1536646924960.0,1536646924940.0,1536646925.0,368.0
0,4662.0,1536646984901.0,1536646984290.0,1536646989563.0,1536646984290.0,641.0,5273.0,http1,1536646984861.0,1536646984931.0,1536646984889.0,1536646984.0,599.0
0,3835.0,1536647044303.0,1536647043951.0,1536647048138.0,1536647043950.0,361.0,4188.0,http1,1536647044265.0,1536647044312.0,1536647044291.0,1536647044.0,341.0
0,3721.0,1536647104934.0,1536647104567.0,1536647108655.0,1536647104567.0,375.0,4088.0,http1,1536647104897.0,1536647104942.0,1536647104922.0,1536647105.0,355.0
0,3580.0,1536647164458.0,1536647164086.0,1536647168038.0,1536647164084.0,380.0,3954.0,http1,1536647164420.0,1536647164466.0,1536647164446.0,1536647164.0,362.0
0,3514.0,1536647224852.0,1536647224499.0,1536647228366.0,1536647224498.0,362.0,3868.0,http1,1536647224814.0,1536647224861.0,1536647224840.0,1536647224.0,342.0
