,computationTime,networkTime,plt,timestamp
0,283.0,354.0,641.0,1526921825.0
0,459.0,321.0,785.0,1526921885.0
0,283.0,306.0,593.0,1526921945.0
0,446.0,337.0,788.0,1526922005.0
0,286.0,348.0,638.0,1526922065.0
0,345.0,318.0,666.0,1526922125.0
0,348.0,322.0,672.0,1526922185.0
0,364.0,354.0,722.0,1526922245.0
0,377.0,338.0,719.0,1526922304.0
0,292.0,323.0,617.0,1526922365.0
0,283.0,316.0,603.0,1526922424.0
0,586.0,350.0,942.0,1526922485.0
0,495.0,324.0,825.0,1526922545.0
0,493.0,308.0,804.0,1526922604.0
0,301.0,315.0,621.0,1526922665.0
0,304.0,339.0,647.0,1526922724.0
0,281.0,328.0,613.0,1526922785.0
0,382.0,308.0,693.0,1526922844.0
0,482.0,315.0,800.0,1526922905.0
