,computationTime,networkTime,plt,timestamp
0,262.0,310.0,574.0,1526921884.0
0,328.0,375.0,706.0,1526921945.0
0,434.0,365.0,802.0,1526922005.0
0,447.0,307.0,757.0,1526922065.0
0,382.0,361.0,745.0,1526922125.0
0,388.0,372.0,762.0,1526922185.0
0,289.0,356.0,648.0,1526922245.0
0,478.0,357.0,838.0,1526922305.0
0,540.0,351.0,895.0,1526922365.0
0,318.0,351.0,674.0,1526922425.0
0,428.0,317.0,750.0,1526922485.0
0,446.0,349.0,797.0,1526922545.0
0,261.0,367.0,631.0,1526922605.0
0,285.0,352.0,643.0,1526922664.0
0,406.0,350.0,762.0,1526922725.0
0,286.0,363.0,654.0,1526922784.0
0,253.0,307.0,567.0,1526922845.0
0,366.0,360.0,729.0,1526922905.0
0,452.0,348.0,803.0,1526922965.0
