,loadingTime,protocol,timestamp
0,197.6027488708496,http2,1532360162.8350837
0,58.053016662597656,http2,1532360222.1832175
0,155.26366233825684,http2,1532360282.6601012
0,155.06672859191895,http2,1532360343.0828123
0,58.649301528930664,http2,1532360402.4336267
0,144.34409141540527,http2,1532360462.8755825
0,153.96404266357422,http2,1532360522.290557
0,56.566476821899414,http2,1532360582.640345
0,72.52717018127441,http2,1532360643.0085335
0,153.15818786621094,http2,1532360702.4518538
0,57.19351768493652,http2,1532360762.8043478
0,57.80291557312012,http2,1532360823.1564302
0,78.51576805114746,http2,1532360882.5129366
0,169.15082931518555,http2,1532360942.9574893
0,56.40244483947754,http2,1532361002.314106
0,134.8872184753418,http2,1532361062.7555883
0,141.39533042907715,http2,1532361123.1545653
0,58.06851387023926,http2,1532361182.4975338
0,61.0506534576416,http2,1532361242.850491
0,110.45265197753906,http2,1532361302.259222
0,151.6091823577881,http2,1532361362.6812043
0,56.870222091674805,http2,1532361422.9935527
0,56.11705780029297,http2,1532361482.3048866
