,loadingTime,protocol,timestamp
0,261.0917091369629,http2_multi,1532416382.8728385
0,266.345739364624,http2_multi,1532416442.3011742
0,256.8340301513672,http2_multi,1532416502.7209053
0,266.2971019744873,http2_multi,1532416563.1570656
0,277.7295112609863,http2_multi,1532416622.6079926
0,280.6813716888428,http2_multi,1532416683.0567455
0,275.61354637145996,http2_multi,1532416742.4980073
0,270.3254222869873,http2_multi,1532416802.931996
0,259.5102787017822,http2_multi,1532416862.3530006
0,267.7626609802246,http2_multi,1532416922.7822244
0,257.5950622558594,http2_multi,1532416983.2059324
0,260.70523262023926,http2_multi,1532417042.629676
0,275.00319480895996,http2_multi,1532417103.0677068
0,268.5856819152832,http2_multi,1532417162.5000868
0,266.92652702331543,http2_multi,1532417222.9306772
0,269.85740661621094,http2_multi,1532417282.3610842
0,261.1353397369385,http2_multi,1532417342.7938192
0,266.42394065856934,http2_multi,1532417403.2222013
0,263.73958587646484,http2_multi,1532417462.644736
0,261.2285614013672,http2_multi,1532417523.0655918
0,268.94092559814453,http2_multi,1532417582.499186
0,270.16663551330566,http2_multi,1532417642.9290557
0,260.3325843811035,http2_multi,1532417702.3501432
0,265.83313941955566,http2_multi,1532417762.777872
0,280.67469596862793,http2_multi,1532417823.223338
0,263.2739543914795,http2_multi,1532417882.6486585
0,225.7242202758789,http2_multi,1532417943.037243
0,265.37299156188965,http2_multi,1532418002.4622767
0,258.26549530029297,http2_multi,1532418062.8817804
0,271.7556953430176,http2_multi,1532418122.317197
0,252.29883193969727,http2_multi,1532418182.730103
