,computationTime,networkTime,plt,timestamp
0,370.0,413.0,787.0,1526920385.0
0,340.0,360.0,704.0,1526920444.0
0,480.0,400.0,888.0,1526920505.0
0,341.0,345.0,691.0,1526920564.0
0,465.0,349.0,818.0,1526920625.0
0,329.0,334.0,670.0,1526920684.0
0,441.0,386.0,831.0,1526920745.0
0,328.0,363.0,696.0,1526920804.0
0,586.0,368.0,958.0,1526920865.0
0,398.0,403.0,805.0,1526920925.0
0,380.0,484.0,869.0,1526920985.0
0,401.0,353.0,758.0,1526921045.0
0,406.0,395.0,806.0,1526921105.0
0,365.0,372.0,741.0,1526921165.0
0,408.0,359.0,772.0,1526921225.0
0,506.0,334.0,843.0,1526921285.0
0,372.0,349.0,724.0,1526921345.0
