,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,3715.0,1533806824745.0,1533806824347.0,1533806828460.0,1533806824344.0,407.0,4116.0,http2,1533806824714.0,1533806824754.0,1533806824734.0,1533806828.0,390.0
0,3731.0,1533806884795.0,1533806884398.0,1533806888526.0,1533806884397.0,405.0,4129.0,http2,1533806884765.0,1533806884803.0,1533806884784.0,1533806889.0,387.0
0,3867.0,1533806944839.0,1533806944477.0,1533806948706.0,1533806944475.0,371.0,4231.0,http2,1533806944807.0,1533806944848.0,1533806944828.0,1533806949.0,353.0
0,6458.0,1533807004039.0,1533807003660.0,1533807010497.0,1533807003659.0,386.0,6838.0,http2,1533807004019.0,1533807004046.0,1533807004028.0,1533807011.0,369.0
0,3496.0,1533807065289.0,1533807064440.0,1533807068785.0,1533807064439.0,856.0,4346.0,http2,1533807065045.0,1533807065296.0,1533807065277.0,1533807069.0,838.0
0,6718.0,1533807124127.0,1533807123739.0,1533807130845.0,1533807123737.0,395.0,7108.0,http2,1533807124110.0,1533807124134.0,1533807124116.0,1533807131.0,379.0
0,3784.0,1533807184156.0,1533807183770.0,1533807187940.0,1533807183770.0,393.0,4170.0,http2,1533807184138.0,1533807184163.0,1533807184145.0,1533807188.0,375.0
0,3496.0,1533807244295.0,1533807243912.0,1533807247791.0,1533807243912.0,390.0,3879.0,http2,1533807244277.0,1533807244302.0,1533807244284.0,1533807248.0,372.0
0,3672.0,1533807304058.0,1533807303741.0,1533807307730.0,1533807303741.0,325.0,3989.0,http2,1533807304041.0,1533807304066.0,1533807304047.0,1533807308.0,306.0
0,3529.0,1533807364054.0,1533807363692.0,1533807367583.0,1533807363692.0,369.0,3891.0,http2,1533807364036.0,1533807364061.0,1533807364042.0,1533807368.0,350.0
0,3659.0,1533807423981.0,1533807423540.0,1533807427640.0,1533807423539.0,449.0,4101.0,http2,1533807423964.0,1533807423989.0,1533807423970.0,1533807428.0,431.0
0,3986.0,1533807483945.0,1533807483588.0,1533807487931.0,1533807483587.0,364.0,4344.0,http2,1533807483928.0,1533807483952.0,1533807483934.0,1533807488.0,347.0
0,6426.0,1533807544196.0,1533807543821.0,1533807550622.0,1533807543820.0,383.0,6802.0,http2,1533807544179.0,1533807544204.0,1533807544185.0,1533807551.0,365.0
