,computationTime,networkTime,plt,timestamp
0,520.0,335.0,858.0,1526921885.0
0,372.0,365.0,739.0,1526921944.0
0,528.0,361.0,892.0,1526922005.0
0,432.0,358.0,795.0,1526922065.0
0,344.0,373.0,720.0,1526922125.0
0,328.0,365.0,696.0,1526922185.0
0,288.0,378.0,670.0,1526922245.0
0,481.0,372.0,859.0,1526922305.0
0,492.0,369.0,866.0,1526922365.0
0,315.0,358.0,676.0,1526922425.0
0,410.0,384.0,799.0,1526922485.0
0,496.0,341.0,839.0,1526922545.0
0,435.0,371.0,808.0,1526922604.0
0,281.0,385.0,672.0,1526922665.0
0,264.0,354.0,621.0,1526922724.0
0,404.0,389.0,795.0,1526922785.0
0,337.0,379.0,718.0,1526922845.0
0,280.0,359.0,641.0,1526922905.0
0,327.0,383.0,714.0,1526922965.0
