,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,6355.0,1537625644516.0,1537625644156.0,1537625650871.0,1537625644155.0,387.0,6716.0,http1,1537625644479.0,1537625644543.0,1537625644504.0,1537625644.0,349.0
0,3803.0,1537625704315.0,1537625703919.0,1537625708118.0,1537625703919.0,403.0,4199.0,http1,1537625704277.0,1537625704322.0,1537625704303.0,1537625704.0,384.0
0,3565.0,1537625764694.0,1537625764315.0,1537625768259.0,1537625764315.0,387.0,3944.0,http1,1537625764641.0,1537625764702.0,1537625764682.0,1537625764.0,367.0
0,3587.0,1537625824847.0,1537625824478.0,1537625828434.0,1537625824478.0,379.0,3956.0,http1,1537625824806.0,1537625824857.0,1537625824836.0,1537625824.0,358.0
0,3916.0,1537625885070.0,1537625884670.0,1537625888986.0,1537625884666.0,409.0,4320.0,http1,1537625885027.0,1537625885079.0,1537625885058.0,1537625885.0,392.0
0,3910.0,1537625944561.0,1537625944207.0,1537625948471.0,1537625944203.0,363.0,4268.0,http1,1537625944524.0,1537625944570.0,1537625944550.0,1537625944.0,347.0
0,3719.0,1537626005082.0,1537626004714.0,1537626008801.0,1537626004713.0,396.0,4088.0,http1,1537626005040.0,1537626005110.0,1537626005070.0,1537626005.0,357.0
0,3592.0,1537626064367.0,1537626063994.0,1537626067959.0,1537626063992.0,382.0,3967.0,http1,1537626064329.0,1537626064376.0,1537626064355.0,1537626064.0,363.0
0,3893.0,1537626124588.0,1537626124227.0,1537626128481.0,1537626124226.0,369.0,4255.0,http1,1537626124550.0,1537626124596.0,1537626124576.0,1537626124.0,350.0
0,3785.0,1537626185093.0,1537626184709.0,1537626188878.0,1537626184707.0,393.0,4171.0,http1,1537626185037.0,1537626185102.0,1537626185081.0,1537626185.0,374.0
0,3616.0,1537626244451.0,1537626244064.0,1537626248067.0,1537626244063.0,396.0,4004.0,http1,1537626244413.0,1537626244460.0,1537626244439.0,1537626244.0,376.0
0,3808.0,1537626304669.0,1537626304312.0,1537626308477.0,1537626304310.0,382.0,4167.0,http1,1537626304631.0,1537626304694.0,1537626304657.0,1537626304.0,347.0
0,3895.0,1537626365061.0,1537626364671.0,1537626368956.0,1537626364670.0,399.0,4286.0,http1,1537626365004.0,1537626365070.0,1537626365050.0,1537626365.0,380.0
0,3810.0,1537626424564.0,1537626424171.0,1537626428374.0,1537626424170.0,402.0,4204.0,http1,1537626424526.0,1537626424573.0,1537626424553.0,1537626424.0,383.0
0,3770.0,1537626485002.0,1537626484614.0,1537626488772.0,1537626484610.0,397.0,4162.0,http1,1537626484955.0,1537626485011.0,1537626484991.0,1537626485.0,381.0
