,computationTime,networkTime,plt,timestamp
0,379.0,339.0,723.0,1526920325.0
0,372.0,339.0,717.0,1526920385.0
0,403.0,318.0,726.0,1526920445.0
0,378.0,333.0,717.0,1526920505.0
0,401.0,358.0,766.0,1526920565.0
0,348.0,315.0,668.0,1526920624.0
0,340.0,322.0,671.0,1526920685.0
0,367.0,325.0,697.0,1526920744.0
0,406.0,353.0,767.0,1526920805.0
0,473.0,315.0,793.0,1526920865.0
0,376.0,309.0,691.0,1526920925.0
0,438.0,349.0,793.0,1526920985.0
0,425.0,349.0,778.0,1526921044.0
0,470.0,360.0,835.0,1526921105.0
0,420.0,312.0,737.0,1526921165.0
0,370.0,315.0,690.0,1526921224.0
0,509.0,360.0,873.0,1526921285.0
0,331.0,331.0,666.0,1526921345.0
