,computationTime,networkTime,plt,protocol,timestamp
0,494.0,313.0,810.0,http2,1526927045.0
0,305.0,272.0,579.0,http2,1526927105.0
0,449.0,283.0,735.0,http2,1526927165.0
0,412.0,313.0,727.0,http2,1526927225.0
0,396.0,301.0,702.0,http2,1526927284.0
0,285.0,283.0,571.0,http2,1526927345.0
0,272.0,297.0,571.0,http2,1526927404.0
0,433.0,308.0,746.0,http2,1526927465.0
0,418.0,282.0,702.0,http2,1526927525.0
0,527.0,280.0,809.0,http2,1526927585.0
0,371.0,310.0,684.0,http2,1526927645.0
0,399.0,313.0,715.0,http2,1526927705.0
0,454.0,274.0,731.0,http2,1526927765.0
0,342.0,304.0,649.0,http2,1526927824.0
0,535.0,315.0,853.0,http2,1526927885.0
0,374.0,299.0,676.0,http2,1526927945.0
0,375.0,275.0,652.0,http2,1526928005.0
0,363.0,298.0,665.0,http2,1526928064.0
0,501.0,314.0,820.0,http2,1526928125.0
0,320.0,286.0,609.0,http2,1526928184.0
0,520.0,291.0,814.0,http2,1526928245.0
0,432.0,300.0,740.0,http2,1526928304.0
0,419.0,317.0,738.0,http2,1526928365.0
0,278.0,275.0,555.0,http2,1526928424.0
0,420.0,305.0,730.0,http2,1526928485.0
0,310.0,315.0,627.0,http2,1526928545.0
0,394.0,287.0,685.0,http2,1526928604.0
0,451.0,312.0,766.0,http2,1526928665.0
0,294.0,290.0,587.0,http2,1526928724.0
0,333.0,303.0,638.0,http2,1526928785.0
0,418.0,317.0,739.0,http2,1526928845.0
0,354.0,277.0,634.0,http2,1526928905.0
0,315.0,302.0,619.0,http2,1526928965.0
0,337.0,310.0,649.0,http2,1526929024.0
0,412.0,280.0,695.0,http2,1526929085.0
0,316.0,302.0,621.0,http2,1526929144.0
0,269.0,305.0,579.0,http2,1526929205.0
0,455.0,332.0,789.0,http2,1526929265.0
0,338.0,269.0,613.0,http2,1526929324.0
0,519.0,321.0,843.0,http2,1526929385.0
0,361.0,310.0,675.0,http2,1526929444.0
0,281.0,286.0,570.0,http2,1526929505.0
0,261.0,280.0,543.0,http2,1526929564.0
0,476.0,306.0,785.0,http2,1526929625.0
0,338.0,320.0,664.0,http2,1526929685.0
