,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,46.0,1535903224537.0,1535903223940.0,1535903224583.0,1535903223939.0,597.0,644.0,http1,1535903223940.0,1535903224537.0,1535903223940.0,1535903224.0,1.0
0,43.0,1535903285239.0,1535903284636.0,1535903285282.0,1535903284635.0,597.0,647.0,http1,1535903284636.0,1535903285233.0,1535903284636.0,1535903285.0,1.0
0,39.0,1535903344980.0,1535903344338.0,1535903345019.0,1535903344334.0,640.0,685.0,http1,1535903344338.0,1535903344978.0,1535903344338.0,1535903344.0,4.0
0,41.0,1535903404697.0,1535903404091.0,1535903404738.0,1535903404091.0,602.0,647.0,http1,1535903404091.0,1535903404693.0,1535903404091.0,1535903404.0,0.0
0,43.0,1535903464418.0,1535903463808.0,1535903464461.0,1535903463807.0,605.0,654.0,http1,1535903463808.0,1535903464413.0,1535903463808.0,1535903464.0,1.0
0,38.0,1535903525158.0,1535903524524.0,1535903525196.0,1535903524523.0,629.0,673.0,http1,1535903524524.0,1535903525153.0,1535903524524.0,1535903525.0,1.0
0,41.0,1535903584865.0,1535903584260.0,1535903584906.0,1535903584259.0,601.0,647.0,http1,1535903584260.0,1535903584861.0,1535903584260.0,1535903584.0,1.0
0,42.0,1535903644581.0,1535903643976.0,1535903644623.0,1535903643974.0,605.0,649.0,http1,1535903643976.0,1535903644581.0,1535903643976.0,1535903644.0,2.0
0,41.0,1535903705281.0,1535903704680.0,1535903705322.0,1535903704679.0,600.0,643.0,http1,1535903704680.0,1535903705280.0,1535903704680.0,1535903705.0,1.0
0,46.0,1535903765033.0,1535903764387.0,1535903765079.0,1535903764384.0,645.0,695.0,http1,1535903764387.0,1535903765032.0,1535903764387.0,1535903764.0,3.0
0,39.0,1535903824746.0,1535903824140.0,1535903824785.0,1535903824138.0,601.0,647.0,http1,1535903824140.0,1535903824741.0,1535903824140.0,1535903824.0,2.0
0,38.0,1535903884454.0,1535903883846.0,1535903884492.0,1535903883843.0,603.0,649.0,http1,1535903883846.0,1535903884449.0,1535903883846.0,1535903884.0,3.0
0,46.0,1535903945193.0,1535903944555.0,1535903945239.0,1535903944549.0,638.0,690.0,http1,1535903944555.0,1535903945193.0,1535903944555.0,1535903945.0,6.0
0,38.0,1535904004907.0,1535904004298.0,1535904004945.0,1535904004297.0,603.0,648.0,http1,1535904004298.0,1535904004901.0,1535904004298.0,1535904004.0,1.0
0,41.0,1535904064625.0,1535904064016.0,1535904064666.0,1535904064015.0,605.0,651.0,http1,1535904064016.0,1535904064621.0,1535904064016.0,1535904064.0,1.0
0,42.0,1535904124324.0,1535904123724.0,1535904124366.0,1535904123722.0,597.0,644.0,http1,1535904123724.0,1535904124321.0,1535904123724.0,1535904124.0,2.0
0,42.0,1535904185032.0,1535904184421.0,1535904185074.0,1535904184420.0,608.0,654.0,http1,1535904184421.0,1535904185029.0,1535904184421.0,1535904184.0,1.0
