,computationTime,networkTime,plt,protocol,timestamp
0,518.0,566.0,1092.0,http1,1527418266.0
0,623.0,381.0,1009.0,http1,1527418325.0
0,389.0,367.0,761.0,http1,1527418384.0
0,454.0,328.0,788.0,http1,1527418445.0
0,391.0,368.0,766.0,http1,1527418505.0
0,495.0,354.0,854.0,http1,1527418565.0
0,399.0,331.0,737.0,http1,1527418624.0
0,350.0,419.0,774.0,http1,1527418685.0
0,397.0,573.0,976.0,http1,1527418745.0
0,432.0,323.0,759.0,http1,1527418805.0
0,372.0,310.0,689.0,http1,1527418865.0
0,581.0,388.0,974.0,http1,1527418925.0
0,356.0,323.0,684.0,http1,1527418985.0
0,373.0,352.0,730.0,http1,1527419045.0
