,computationTime,networkTime,plt,timestamp
0,414.0,405.0,827.0,1526920445.0
0,473.0,353.0,835.0,1526920505.0
0,289.0,321.0,613.0,1526920564.0
0,364.0,355.0,724.0,1526920625.0
0,359.0,350.0,713.0,1526920685.0
0,404.0,363.0,771.0,1526920745.0
0,389.0,340.0,733.0,1526920805.0
0,452.0,357.0,814.0,1526920865.0
0,348.0,365.0,717.0,1526920925.0
0,349.0,303.0,657.0,1526920984.0
0,346.0,348.0,698.0,1526921045.0
0,348.0,350.0,702.0,1526921104.0
0,377.0,374.0,754.0,1526921165.0
0,323.0,327.0,654.0,1526921224.0
0,485.0,384.0,872.0,1526921285.0
