,computationTime,networkTime,plt,timestamp
0,373.0,361.0,739.0,1526920384.0
0,386.0,415.0,809.0,1526920445.0
0,513.0,363.0,880.0,1526920505.0
0,415.0,383.0,803.0,1526920564.0
0,432.0,373.0,811.0,1526920625.0
0,424.0,362.0,791.0,1526920685.0
0,337.0,373.0,716.0,1526920744.0
0,427.0,397.0,828.0,1526920805.0
0,612.0,376.0,993.0,1526920865.0
0,412.0,367.0,784.0,1526920924.0
0,384.0,468.0,858.0,1526920985.0
0,355.0,377.0,738.0,1526921045.0
0,416.0,357.0,778.0,1526921104.0
0,431.0,397.0,836.0,1526921165.0
0,451.0,380.0,836.0,1526921225.0
0,411.0,377.0,794.0,1526921284.0
0,356.0,364.0,724.0,1526921345.0
