,computationTime,networkTime,plt,timestamp
0,604.0,275.0,884.0,1526921885.0
0,377.0,307.0,687.0,1526921944.0
0,508.0,273.0,783.0,1526922005.0
0,281.0,263.0,547.0,1526922064.0
0,325.0,277.0,604.0,1526922125.0
0,426.0,263.0,692.0,1526922185.0
0,263.0,269.0,539.0,1526922244.0
0,427.0,281.0,710.0,1526922305.0
0,492.0,271.0,766.0,1526922365.0
0,273.0,267.0,542.0,1526922425.0
0,482.0,276.0,762.0,1526922485.0
0,273.0,305.0,585.0,1526922544.0
0,476.0,273.0,752.0,1526922605.0
0,309.0,261.0,572.0,1526922664.0
0,544.0,294.0,841.0,1526922725.0
0,261.0,279.0,543.0,1526922784.0
0,376.0,263.0,642.0,1526922844.0
0,458.0,287.0,748.0,1526922905.0
