,computationTime,domloading_ts,fetchstart_ts,loadeventend_ts,navigationstart_ts,networkTime,plt,protocol,requeststart_ts,responseend_ts,responsestart_ts,timestamp,ttfb
0,4286.0,1535552704256.0,1535552703858.0,1535552708542.0,1535552703857.0,406.0,4685.0,http2,1535552704230.0,1535552704264.0,1535552704245.0,1535552704.0,388.0
0,3815.0,1535552764859.0,1535552764466.0,1535552768674.0,1535552764466.0,401.0,4208.0,http2,1535552764830.0,1535552764867.0,1535552764848.0,1535552764.0,382.0
0,3778.0,1535552824149.0,1535552823738.0,1535552827927.0,1535552823738.0,418.0,4189.0,http2,1535552824131.0,1535552824156.0,1535552824137.0,1535552824.0,399.0
0,3557.0,1535552884287.0,1535552883965.0,1535552887844.0,1535552883964.0,330.0,3880.0,http2,1535552884270.0,1535552884295.0,1535552884276.0,1535552884.0,312.0
0,3734.0,1535552944307.0,1535552943935.0,1535552948041.0,1535552943934.0,380.0,4107.0,http2,1535552944290.0,1535552944315.0,1535552944296.0,1535552944.0,362.0
0,3680.0,1535553004428.0,1535553004066.0,1535553008108.0,1535553004065.0,370.0,4043.0,http2,1535553004407.0,1535553004436.0,1535553004417.0,1535553004.0,352.0
0,3713.0,1535553064486.0,1535553064155.0,1535553068199.0,1535553064154.0,338.0,4045.0,http2,1535553064467.0,1535553064493.0,1535553064475.0,1535553064.0,321.0
0,3636.0,1535553124655.0,1535553124265.0,1535553128291.0,1535553124265.0,397.0,4026.0,http2,1535553124635.0,1535553124662.0,1535553124644.0,1535553124.0,379.0
0,3592.0,1535553184792.0,1535553184393.0,1535553188384.0,1535553184392.0,463.0,3992.0,http2,1535553184762.0,1535553184856.0,1535553184781.0,1535553184.0,389.0
0,3743.0,1535553244829.0,1535553244429.0,1535553248572.0,1535553244428.0,407.0,4144.0,http2,1535553244802.0,1535553244836.0,1535553244817.0,1535553244.0,389.0
0,3830.0,1535553304048.0,1535553303628.0,1535553307878.0,1535553303628.0,428.0,4250.0,http2,1535553304027.0,1535553304056.0,1535553304037.0,1535553304.0,409.0
0,3691.0,1535553364410.0,1535553364057.0,1535553368101.0,1535553364055.0,359.0,4046.0,http2,1535553364392.0,1535553364416.0,1535553364399.0,1535553364.0,344.0
0,3714.0,1535553424522.0,1535553424149.0,1535553428236.0,1535553424149.0,381.0,4087.0,http2,1535553424495.0,1535553424530.0,1535553424511.0,1535553424.0,362.0
0,6338.0,1535553484664.0,1535553484285.0,1535553491002.0,1535553484284.0,387.0,6718.0,http2,1535553484639.0,1535553484672.0,1535553484653.0,1535553484.0,369.0
0,3425.0,1535553544448.0,1535553544121.0,1535553547873.0,1535553544115.0,335.0,3758.0,http2,1535553544431.0,1535553544456.0,1535553544437.0,1535553544.0,322.0
0,3621.0,1535553604298.0,1535553603930.0,1535553607919.0,1535553603930.0,374.0,3989.0,http2,1535553604279.0,1535553604304.0,1535553604287.0,1535553604.0,357.0
0,3695.0,1535553664330.0,1535553663954.0,1535553668025.0,1535553663953.0,384.0,4072.0,http2,1535553664310.0,1535553664338.0,1535553664318.0,1535553664.0,365.0
0,6417.0,1535553724458.0,1535553724072.0,1535553730875.0,1535553724071.0,392.0,6804.0,http2,1535553724440.0,1535553724464.0,1535553724447.0,1535553724.0,376.0
0,3777.0,1535553784314.0,1535553783925.0,1535553788091.0,1535553783925.0,395.0,4166.0,http2,1535553784296.0,1535553784320.0,1535553784302.0,1535553784.0,377.0
0,3847.0,1535553844559.0,1535553844145.0,1535553848406.0,1535553844141.0,422.0,4265.0,http2,1535553844538.0,1535553844567.0,1535553844548.0,1535553844.0,407.0
