,networkTime,plt,protocol,protocol_ratio,renderingTime,ttfb
76,824.2857142857143,7005.142857142857,http1,h1_7_h2_3,6267.428571428572,726.1428571428571
77,843.0,13474.666666666666,http2,h1_7_h2_3,12702.0,761.6666666666666
78,869.0,7320.428571428572,http1,h1_7_h2_3,6573.428571428572,735.8571428571429
79,857.3333333333334,12054.666666666666,http2,h1_7_h2_3,11300.666666666666,710.6666666666666
80,857.4,7196.7,http1,h1_10_h2_0,6439.2,746.3
81,,,http2,h1_10_h2_0,,
82,841.1,6970.1,http1,h1_10_h2_0,6213.0,745.9
83,,,http2,h1_10_h2_0,,
84,851.7,6987.8,http1,h1_10_h2_0,6235.8,740.9
85,,,http2,h1_10_h2_0,,
86,904.0,7172.8,http1,h1_10_h2_0,6392.1,769.4
87,,,http2,h1_10_h2_0,,
88,844.9,6980.5,http1,h1_10_h2_0,6237.9,731.4
89,,,http2,h1_10_h2_0,,
90,845.1,7105.7,http1,h1_10_h2_0,6351.9,742.7
91,,,http2,h1_10_h2_0,,
92,833.5,7058.0,http1,h1_10_h2_0,6314.4,732.5
93,,,http2,h1_10_h2_0,,
94,848.5,6956.1,http1,h1_10_h2_0,6199.2,745.7
95,,,http2,h1_10_h2_0,,
96,858.5,7081.7,http1,h1_10_h2_0,6333.1,737.6
97,,,http2,h1_10_h2_0,,
98,844.7,7067.6,http1,h1_10_h2_0,6312.5,743.7
99,,,http2,h1_10_h2_0,,
