,computationTime,networkTime,plt,protocol,timestamp
0,448.0,354.0,805.0,http2,1527414845.0
0,316.0,315.0,634.0,http2,1527414904.0
0,535.0,346.0,888.0,http2,1527414965.0
0,398.0,354.0,756.0,http2,1527415024.0
0,545.0,338.0,888.0,http2,1527415085.0
0,357.0,310.0,671.0,http2,1527415145.0
0,454.0,367.0,825.0,http2,1527415205.0
0,505.0,363.0,871.0,http2,1527415265.0
0,305.0,321.0,628.0,http2,1527415324.0
0,270.0,351.0,624.0,http2,1527415385.0
0,365.0,331.0,699.0,http2,1527415445.0
0,510.0,342.0,854.0,http2,1527415505.0
0,379.0,361.0,744.0,http2,1527415564.0
0,429.0,318.0,751.0,http2,1527415625.0
0,257.0,335.0,595.0,http2,1527415684.0
0,293.0,340.0,636.0,http2,1527415745.0
0,262.0,321.0,588.0,http2,1527415804.0
0,408.0,323.0,733.0,http2,1527415865.0
0,268.0,347.0,618.0,http2,1527415925.0
0,342.0,357.0,704.0,http2,1527415985.0
0,421.0,321.0,745.0,http2,1527416045.0
0,387.0,580.0,970.0,http2,1527416105.0
