,computationTime,networkTime,plt,timestamp
0,339.0,385.0,729.0,1526920384.0
0,376.0,354.0,734.0,1526920445.0
0,321.0,337.0,663.0,1526920504.0
0,375.0,330.0,709.0,1526920565.0
0,346.0,353.0,703.0,1526920625.0
0,362.0,362.0,729.0,1526920685.0
0,390.0,331.0,725.0,1526920745.0
0,357.0,303.0,665.0,1526920805.0
0,461.0,405.0,872.0,1526920865.0
0,409.0,363.0,777.0,1526920925.0
0,390.0,325.0,719.0,1526920985.0
0,353.0,308.0,664.0,1526921044.0
0,398.0,371.0,774.0,1526921105.0
0,344.0,306.0,654.0,1526921164.0
0,432.0,323.0,758.0,1526921225.0
0,407.0,347.0,758.0,1526921284.0
