,computationTime,networkTime,plt,protocol,timestamp
0,865.0,547.0,1419.0,http1,1527411186.0
0,906.0,552.0,1462.0,http1,1527411245.0
0,919.0,517.0,1441.0,http1,1527411306.0
0,974.0,518.0,1498.0,http1,1527411365.0
0,891.0,526.0,1424.0,http1,1527411426.0
0,839.0,659.0,1503.0,http1,1527411486.0
0,933.0,524.0,1465.0,http1,1527411545.0
0,1002.0,535.0,1542.0,http1,1527411606.0
0,884.0,525.0,1414.0,http1,1527411665.0
0,872.0,456.0,1333.0,http1,1527411725.0
0,1197.0,545.0,1747.0,http1,1527411786.0
0,947.0,561.0,1513.0,http1,1527411845.0
0,976.0,537.0,1518.0,http1,1527411906.0
0,858.0,541.0,1405.0,http1,1527411965.0
0,931.0,520.0,1456.0,http1,1527412026.0
0,865.0,581.0,1451.0,http1,1527412086.0
0,974.0,528.0,1507.0,http1,1527412145.0
0,943.0,528.0,1479.0,http1,1527412206.0
0,904.0,561.0,1469.0,http1,1527412266.0
0,914.0,540.0,1459.0,http1,1527412325.0
0,879.0,696.0,1580.0,http1,1527412386.0
0,970.0,500.0,1477.0,http1,1527412445.0
0,930.0,513.0,1451.0,http1,1527412506.0
0,866.0,563.0,1435.0,http1,1527412565.0
0,880.0,502.0,1388.0,http1,1527412625.0
0,902.0,530.0,1437.0,http1,1527412686.0
0,937.0,510.0,1455.0,http1,1527412745.0
0,970.0,512.0,1486.0,http1,1527412806.0
0,957.0,458.0,1420.0,http1,1527412866.0
0,901.0,556.0,1462.0,http1,1527412925.0
0,937.0,538.0,1480.0,http1,1527412986.0
0,855.0,550.0,1412.0,http1,1527413046.0
0,930.0,497.0,1434.0,http1,1527413105.0
0,977.0,527.0,1508.0,http1,1527413166.0
0,929.0,563.0,1497.0,http1,1527413226.0
0,968.0,581.0,1554.0,http1,1527413286.0
0,869.0,563.0,1437.0,http1,1527413346.0
0,935.0,521.0,1460.0,http1,1527413405.0
0,998.0,541.0,1544.0,http1,1527413466.0
0,845.0,473.0,1323.0,http1,1527413526.0
0,913.0,498.0,1417.0,http1,1527413585.0
0,920.0,538.0,1463.0,http1,1527413646.0
0,350.0,383.0,738.0,http1,1527413705.0
