,computationTime,networkTime,plt,timestamp
0,286.0,319.0,608.0,1526921825.0
0,330.0,322.0,656.0,1526921885.0
0,360.0,321.0,685.0,1526921945.0
0,411.0,325.0,739.0,1526922005.0
0,370.0,321.0,699.0,1526922065.0
0,330.0,322.0,656.0,1526922124.0
0,459.0,317.0,783.0,1526922185.0
0,345.0,317.0,665.0,1526922244.0
0,344.0,315.0,668.0,1526922305.0
0,416.0,309.0,731.0,1526922365.0
0,365.0,332.0,702.0,1526922425.0
0,408.0,356.0,768.0,1526922485.0
0,325.0,308.0,636.0,1526922544.0
0,414.0,323.0,742.0,1526922605.0
0,306.0,350.0,659.0,1526922664.0
0,405.0,329.0,738.0,1526922725.0
0,430.0,316.0,749.0,1526922785.0
0,335.0,320.0,661.0,1526922845.0
0,401.0,346.0,752.0,1526922905.0
