,computationTime,networkTime,plt,timestamp
0,494.0,358.0,856.0,1526921885.0
0,276.0,359.0,639.0,1526921945.0
0,534.0,371.0,909.0,1526922005.0
0,433.0,364.0,801.0,1526922065.0
0,393.0,373.0,770.0,1526922125.0
0,461.0,359.0,825.0,1526922185.0
0,314.0,365.0,682.0,1526922244.0
0,341.0,361.0,705.0,1526922305.0
0,457.0,378.0,838.0,1526922365.0
0,364.0,375.0,744.0,1526922425.0
0,548.0,379.0,934.0,1526922485.0
0,478.0,351.0,838.0,1526922545.0
0,509.0,371.0,886.0,1526922604.0
0,307.0,364.0,675.0,1526922665.0
0,493.0,361.0,857.0,1526922725.0
0,304.0,488.0,796.0,1526922785.0
0,298.0,373.0,674.0,1526922845.0
0,280.0,373.0,658.0,1526922904.0
