,computationTime,networkTime,plt,protocol,timestamp
0,722.0,498.0,1224.0,http2,1527407705.0
0,629.0,520.0,1151.0,http2,1527407765.0
0,677.0,511.0,1191.0,http2,1527407825.0
0,726.0,511.0,1240.0,http2,1527407885.0
0,635.0,525.0,1164.0,http2,1527407945.0
0,645.0,529.0,1176.0,http2,1527408005.0
0,683.0,512.0,1200.0,http2,1527408065.0
0,798.0,535.0,1338.0,http2,1527408125.0
0,1268.0,498.0,1769.0,http2,1527408186.0
0,883.0,502.0,1388.0,http2,1527408245.0
0,1059.0,563.0,1625.0,http2,1527408305.0
0,1087.0,459.0,1549.0,http2,1527408366.0
0,1085.0,520.0,1610.0,http2,1527408425.0
0,927.0,525.0,1455.0,http2,1527408486.0
0,929.0,539.0,1474.0,http2,1527408546.0
0,750.0,488.0,1240.0,http2,1527408605.0
0,726.0,502.0,1231.0,http2,1527408665.0
