,computationTime,networkTime,plt,timestamp
0,526.0,359.0,892.0,1526921885.0
0,317.0,378.0,698.0,1526921944.0
0,532.0,399.0,935.0,1526922005.0
0,293.0,363.0,658.0,1526922064.0
0,332.0,383.0,718.0,1526922125.0
0,326.0,416.0,744.0,1526922185.0
0,402.0,339.0,744.0,1526922245.0
0,355.0,348.0,705.0,1526922305.0
0,449.0,369.0,821.0,1526922365.0
0,369.0,387.0,758.0,1526922425.0
0,288.0,380.0,673.0,1526922485.0
0,281.0,414.0,698.0,1526922545.0
0,467.0,434.0,903.0,1526922605.0
0,257.0,371.0,631.0,1526922665.0
0,490.0,384.0,877.0,1526922725.0
0,282.0,528.0,812.0,1526922785.0
0,252.0,342.0,596.0,1526922845.0
0,459.0,346.0,807.0,1526922905.0
0,457.0,351.0,811.0,1526922965.0
