,computationTime,networkTime,plt,protocol,timestamp
0,492.0,368.0,863.0,http2,1527562145.0
0,381.0,376.0,759.0,http2,1527562204.0
0,403.0,367.0,773.0,http2,1527562265.0
0,377.0,382.0,765.0,http2,1527562324.0
0,415.0,395.0,818.0,http2,1527562385.0
0,628.0,390.0,1020.0,http2,1527562445.0
0,432.0,365.0,800.0,http2,1527562504.0
0,496.0,352.0,854.0,http2,1527562565.0
0,751.0,371.0,1125.0,http2,1527562625.0
0,762.0,375.0,1140.0,http2,1527562685.0
0,848.0,373.0,1226.0,http2,1527562745.0
0,641.0,352.0,995.0,http2,1527562805.0
0,799.0,368.0,1171.0,http2,1527562865.0
0,696.0,379.0,1080.0,http2,1527562925.0
0,748.0,380.0,1131.0,http2,1527562985.0
0,562.0,315.0,879.0,http2,1527563044.0
0,449.0,364.0,816.0,http2,1527563105.0
0,417.0,370.0,789.0,http2,1527563165.0
0,388.0,401.0,791.0,http2,1527563225.0
0,627.0,384.0,1014.0,http2,1527563285.0
0,839.0,372.0,1213.0,http2,1527563345.0
0,747.0,399.0,1149.0,http2,1527563405.0
0,522.0,320.0,848.0,http2,1527563465.0
0,420.0,364.0,787.0,http2,1527563525.0
0,411.0,349.0,764.0,http2,1527563585.0
0,436.0,374.0,815.0,http2,1527563644.0
0,414.0,396.0,812.0,http2,1527563705.0
0,402.0,384.0,789.0,http2,1527563765.0
0,416.0,391.0,811.0,http2,1527563825.0
0,414.0,373.0,790.0,http2,1527563885.0
0,437.0,309.0,749.0,http2,1527563944.0
0,403.0,393.0,800.0,http2,1527564005.0
0,392.0,389.0,785.0,http2,1527564065.0
0,442.0,386.0,835.0,http2,1527564125.0
0,649.0,402.0,1055.0,http2,1527564185.0
0,772.0,394.0,1170.0,http2,1527564245.0
0,660.0,380.0,1044.0,http2,1527564305.0
0,441.0,377.0,821.0,http2,1527564364.0
0,368.0,358.0,729.0,http2,1527564425.0
0,423.0,379.0,805.0,http2,1527564485.0
0,438.0,369.0,810.0,http2,1527564545.0
0,504.0,344.0,851.0,http2,1527564605.0
0,509.0,390.0,903.0,http2,1527564665.0
0,378.0,424.0,811.0,http2,1527564725.0
0,412.0,379.0,793.0,http2,1527564785.0
0,400.0,317.0,721.0,http2,1527564844.0
0,621.0,408.0,1032.0,http2,1527564905.0
0,631.0,372.0,1006.0,http2,1527564965.0
0,827.0,350.0,1179.0,http2,1527565025.0
0,685.0,407.0,1095.0,http2,1527565085.0
