,loadingTime,protocol,timestamp
0,248.64673614501953,http1,1532418302.7166796
0,256.89196586608887,http1,1532418363.0974052
0,245.52679061889648,http1,1532418422.4528136
0,233.34574699401855,http1,1532418482.7962174
0,216.8099880218506,http1,1532418543.1293635
0,235.93401908874512,http1,1532418602.4828181
0,218.11676025390625,http1,1532418662.8113825
0,232.5444221496582,http1,1532418723.153745
0,244.60482597351074,http1,1532418782.515109
0,251.6019344329834,http1,1532418842.8782265
0,223.07753562927246,http1,1532418902.2140455
0,258.99553298950195,http1,1532418962.5892487
0,269.0861225128174,http1,1532419022.9686863
0,251.47128105163574,http1,1532419082.3263702
0,254.39214706420898,http1,1532419142.6973217
0,226.53961181640625,http1,1532419203.0353475
0,237.08200454711914,http1,1532419262.3956382
0,230.1652431488037,http1,1532419322.7316492
0,234.51662063598633,http1,1532419383.0847979
0,219.20251846313477,http1,1532419442.4236097
0,247.52402305603027,http1,1532419502.7784865
0,241.39785766601562,http1,1532419563.1364667
0,232.19561576843262,http1,1532419622.485885
0,258.84437561035156,http1,1532419682.864092
0,233.5672378540039,http1,1532419742.2173307
0,235.94260215759277,http1,1532419802.564564
0,237.00976371765137,http1,1532419862.91033
0,240.29922485351562,http1,1532419922.2716062
0,244.69995498657227,http1,1532419982.6374445
0,228.99222373962402,http1,1532420042.9845989
0,220.60918807983398,http1,1532420102.3234937
