,computationTime,networkTime,plt,protocol,timestamp
0,309.0,316.0,629.0,http2,1527417365.0
0,373.0,482.0,858.0,http2,1527417425.0
0,305.0,299.0,607.0,http2,1527417484.0
0,611.0,313.0,928.0,http2,1527417545.0
0,287.0,264.0,555.0,http2,1527417604.0
0,518.0,289.0,810.0,http2,1527417665.0
0,295.0,308.0,606.0,http2,1527417724.0
0,286.0,280.0,568.0,http2,1527417785.0
0,607.0,285.0,894.0,http2,1527417845.0
0,613.0,311.0,926.0,http2,1527417905.0
0,505.0,555.0,1063.0,http2,1527417965.0
0,493.0,267.0,763.0,http2,1527418025.0
0,582.0,280.0,866.0,http2,1527418085.0
0,646.0,278.0,929.0,http2,1527418145.0
0,495.0,313.0,814.0,http2,1527418205.0
