,computationTime,networkTime,plt,protocol,timestamp
0,571.0,383.0,958.0,http1,1527502445.0
0,529.0,339.0,873.0,http1,1527502505.0
0,381.0,517.0,904.0,http1,1527502565.0
0,672.0,612.0,1289.0,http1,1527502625.0
0,587.0,384.0,977.0,http1,1527502685.0
0,630.0,347.0,987.0,http1,1527502745.0
0,484.0,381.0,869.0,http1,1527502805.0
0,476.0,379.0,860.0,http1,1527502865.0
0,380.0,344.0,730.0,http1,1527502925.0
0,497.0,346.0,848.0,http1,1527502985.0
0,529.0,571.0,1107.0,http1,1527503045.0
0,576.0,371.0,952.0,http1,1527503105.0
0,538.0,360.0,905.0,http1,1527503165.0
0,504.0,354.0,867.0,http1,1527503225.0
0,428.0,467.0,900.0,http1,1527503285.0
0,411.0,357.0,774.0,http1,1527503345.0
0,511.0,328.0,843.0,http1,1527503406.0
