,computationTime,networkTime,plt,timestamp
0,512.0,341.0,855.0,1526921885.0
0,384.0,360.0,748.0,1526921944.0
0,530.0,321.0,854.0,1526922005.0
0,367.0,317.0,687.0,1526922065.0
0,254.0,364.0,622.0,1526922125.0
0,258.0,310.0,571.0,1526922184.0
0,403.0,338.0,743.0,1526922245.0
0,348.0,346.0,697.0,1526922305.0
0,434.0,317.0,754.0,1526922365.0
0,273.0,327.0,603.0,1526922425.0
0,290.0,320.0,612.0,1526922484.0
0,414.0,374.0,791.0,1526922545.0
0,448.0,307.0,758.0,1526922604.0
0,270.0,310.0,583.0,1526922665.0
0,282.0,357.0,642.0,1526922725.0
0,395.0,303.0,701.0,1526922785.0
0,288.0,334.0,624.0,1526922845.0
0,270.0,354.0,628.0,1526922904.0
0,551.0,326.0,879.0,1526922965.0
