,computationTime,networkTime,plt,timestamp
0,574.0,264.0,842.0,1526921885.0
0,321.0,303.0,628.0,1526921944.0
0,329.0,305.0,639.0,1526922005.0
0,319.0,286.0,607.0,1526922065.0
0,306.0,263.0,573.0,1526922124.0
0,428.0,313.0,745.0,1526922185.0
0,263.0,307.0,573.0,1526922244.0
0,545.0,266.0,813.0,1526922305.0
0,398.0,294.0,695.0,1526922365.0
0,272.0,300.0,574.0,1526922424.0
0,437.0,305.0,744.0,1526922485.0
0,277.0,270.0,551.0,1526922544.0
0,569.0,293.0,868.0,1526922605.0
0,308.0,292.0,604.0,1526922664.0
0,488.0,307.0,802.0,1526922725.0
0,259.0,270.0,535.0,1526922785.0
0,336.0,279.0,617.0,1526922844.0
0,394.0,302.0,700.0,1526922905.0
0,259.0,294.0,557.0,1526922964.0
