,computationTime,networkTime,plt,protocol,timestamp
0,356.0,373.0,733.0,http2,1526924105.0
0,363.0,315.0,682.0,http2,1526924164.0
0,498.0,351.0,852.0,http2,1526924225.0
0,298.0,387.0,689.0,http2,1526924285.0
0,289.0,306.0,600.0,http2,1526924344.0
0,638.0,332.0,976.0,http2,1526924405.0
0,438.0,345.0,787.0,http2,1526924465.0
0,816.0,340.0,1160.0,http2,1526924525.0
0,558.0,430.0,992.0,http2,1526924585.0
0,362.0,322.0,688.0,http2,1526924644.0
0,425.0,354.0,785.0,http2,1526924705.0
0,611.0,322.0,937.0,http2,1526924765.0
0,375.0,324.0,705.0,http2,1526924825.0
0,382.0,397.0,783.0,http2,1526924885.0
0,668.0,316.0,988.0,http2,1526924945.0
0,601.0,317.0,921.0,http2,1526925005.0
0,496.0,313.0,813.0,http2,1526925065.0
0,325.0,363.0,692.0,http2,1526925125.0
0,636.0,335.0,975.0,http2,1526925185.0
0,683.0,309.0,996.0,http2,1526925245.0
0,548.0,373.0,924.0,http2,1526925305.0
0,423.0,349.0,774.0,http2,1526925365.0
0,364.0,317.0,686.0,http2,1526925425.0
0,487.0,474.0,968.0,http2,1526925485.0
0,747.0,311.0,1062.0,http2,1526925545.0
0,372.0,321.0,696.0,http2,1526925605.0
0,336.0,362.0,701.0,http2,1526925665.0
0,756.0,351.0,1112.0,http2,1526925725.0
0,765.0,324.0,1094.0,http2,1526925785.0
0,592.0,337.0,934.0,http2,1526925845.0
0,545.0,370.0,919.0,http2,1526925905.0
0,383.0,329.0,717.0,http2,1526925964.0
0,472.0,314.0,791.0,http2,1526926025.0
0,374.0,383.0,764.0,http2,1526926085.0
0,544.0,361.0,909.0,http2,1526926145.0
0,331.0,340.0,675.0,http2,1526926205.0
0,470.0,323.0,797.0,http2,1526926265.0
0,850.0,349.0,1202.0,http2,1526926325.0
0,456.0,428.0,891.0,http2,1526926385.0
0,362.0,344.0,710.0,http2,1526926444.0
0,424.0,385.0,812.0,http2,1526926505.0
0,495.0,365.0,865.0,http2,1526926565.0
0,287.0,316.0,607.0,http2,1526926624.0
0,292.0,366.0,660.0,http2,1526926685.0
0,391.0,358.0,754.0,http2,1526926745.0
0,337.0,320.0,661.0,http2,1526926805.0
0,372.0,332.0,708.0,http2,1526926865.0
0,336.0,368.0,707.0,http2,1526926924.0
0,348.0,320.0,675.0,http2,1526926985.0
