,computationTime,networkTime,plt,timestamp
0,359.0,357.0,720.0,1526920324.0
0,453.0,353.0,810.0,1526920385.0
0,383.0,309.0,696.0,1526920445.0
0,371.0,356.0,731.0,1526920505.0
0,425.0,341.0,771.0,1526920565.0
0,423.0,322.0,752.0,1526920625.0
0,379.0,320.0,704.0,1526920685.0
0,484.0,350.0,840.0,1526920745.0
0,408.0,348.0,762.0,1526920805.0
0,403.0,345.0,752.0,1526920865.0
0,372.0,336.0,714.0,1526920925.0
0,403.0,450.0,859.0,1526920985.0
0,391.0,333.0,730.0,1526921045.0
0,442.0,351.0,799.0,1526921105.0
0,406.0,355.0,765.0,1526921165.0
0,373.0,378.0,754.0,1526921225.0
0,541.0,347.0,894.0,1526921285.0
0,364.0,372.0,740.0,1526921345.0
