,computationTime,networkTime,plt,timestamp
0,378.0,399.0,780.0,1526920385.0
0,309.0,357.0,669.0,1526920444.0
0,407.0,308.0,718.0,1526920505.0
0,325.0,377.0,706.0,1526920565.0
0,427.0,370.0,802.0,1526920625.0
0,346.0,371.0,721.0,1526920685.0
0,389.0,377.0,770.0,1526920745.0
0,395.0,364.0,763.0,1526920805.0
0,605.0,351.0,961.0,1526920865.0
0,365.0,314.0,682.0,1526920924.0
0,411.0,373.0,795.0,1526920985.0
0,330.0,385.0,724.0,1526921044.0
0,399.0,403.0,806.0,1526921105.0
0,332.0,360.0,695.0,1526921164.0
0,410.0,372.0,786.0,1526921225.0
0,355.0,360.0,719.0,1526921284.0
