,computationTime,networkTime,plt,protocol,timestamp
0,501.0,358.0,865.0,http2,1526922965.0
0,679.0,352.0,1038.0,http2,1526923025.0
0,277.0,353.0,636.0,http2,1526923085.0
0,287.0,359.0,649.0,http2,1526923145.0
0,282.0,333.0,618.0,http2,1526923204.0
0,312.0,338.0,656.0,http2,1526923265.0
0,550.0,369.0,926.0,http2,1526923325.0
0,423.0,325.0,751.0,http2,1526923385.0
0,509.0,337.0,849.0,http2,1526923445.0
0,350.0,359.0,712.0,http2,1526923505.0
0,324.0,353.0,680.0,http2,1526923565.0
0,470.0,331.0,804.0,http2,1526923625.0
0,513.0,469.0,986.0,http2,1526923685.0
0,543.0,436.0,982.0,http2,1526923745.0
0,423.0,328.0,754.0,http2,1526923804.0
0,342.0,356.0,701.0,http2,1526923865.0
0,502.0,362.0,867.0,http2,1526923925.0
0,409.0,306.0,719.0,http2,1526923984.0
0,561.0,326.0,890.0,http2,1526924045.0
